IdBundesland,Bundesland,AnzahlFall,AnzahlTodesfall,Meldedatum
1,Schleswig-Holstein,1,0,2020-03-14
1,Schleswig-Holstein,2,0,2020-03-19
1,Schleswig-Holstein,1,0,2020-03-21
1,Schleswig-Holstein,1,0,2020-03-27
1,Schleswig-Holstein,1,0,2020-04-04
1,Schleswig-Holstein,1,0,2020-03-14
1,Schleswig-Holstein,2,0,2020-03-18
1,Schleswig-Holstein,1,0,2020-03-28
1,Schleswig-Holstein,1,0,2020-03-14
1,Schleswig-Holstein,1,0,2020-03-20
1,Schleswig-Holstein,1,0,2020-03-14
1,Schleswig-Holstein,2,0,2020-03-19
1,Schleswig-Holstein,1,0,2020-03-20
1,Schleswig-Holstein,1,0,2020-03-28
1,Schleswig-Holstein,1,0,2020-03-29
1,Schleswig-Holstein,1,0,2020-04-03
1,Schleswig-Holstein,1,1,2020-03-24
1,Schleswig-Holstein,2,0,2020-03-26
1,Schleswig-Holstein,2,0,2020-03-26
1,Schleswig-Holstein,1,0,2020-04-03
1,Schleswig-Holstein,2,0,2020-03-31
1,Schleswig-Holstein,1,0,2020-03-30
1,Schleswig-Holstein,1,0,2020-03-10
1,Schleswig-Holstein,2,0,2020-03-11
1,Schleswig-Holstein,1,0,2020-03-13
1,Schleswig-Holstein,1,0,2020-03-14
1,Schleswig-Holstein,1,0,2020-03-16
1,Schleswig-Holstein,1,0,2020-03-18
1,Schleswig-Holstein,1,0,2020-03-20
1,Schleswig-Holstein,1,0,2020-03-21
1,Schleswig-Holstein,2,0,2020-03-23
1,Schleswig-Holstein,1,0,2020-03-25
1,Schleswig-Holstein,2,0,2020-03-27
1,Schleswig-Holstein,2,0,2020-03-28
1,Schleswig-Holstein,1,0,2020-03-29
1,Schleswig-Holstein,3,0,2020-04-01
1,Schleswig-Holstein,2,0,2020-04-02
1,Schleswig-Holstein,1,0,2020-04-03
1,Schleswig-Holstein,1,0,2020-04-04
1,Schleswig-Holstein,1,0,2020-04-05
1,Schleswig-Holstein,1,0,2020-03-10
1,Schleswig-Holstein,1,0,2020-03-12
1,Schleswig-Holstein,3,0,2020-03-16
1,Schleswig-Holstein,1,0,2020-03-17
1,Schleswig-Holstein,2,0,2020-03-18
1,Schleswig-Holstein,3,0,2020-03-19
1,Schleswig-Holstein,1,0,2020-03-20
1,Schleswig-Holstein,1,0,2020-03-22
1,Schleswig-Holstein,3,0,2020-03-23
1,Schleswig-Holstein,1,0,2020-03-24
1,Schleswig-Holstein,2,0,2020-03-26
1,Schleswig-Holstein,3,0,2020-03-27
1,Schleswig-Holstein,2,0,2020-03-28
1,Schleswig-Holstein,1,0,2020-03-29
1,Schleswig-Holstein,1,0,2020-03-31
1,Schleswig-Holstein,1,0,2020-04-02
1,Schleswig-Holstein,2,0,2020-04-03
1,Schleswig-Holstein,1,0,2020-04-04
1,Schleswig-Holstein,1,0,2020-04-05
1,Schleswig-Holstein,1,0,2020-03-11
1,Schleswig-Holstein,1,0,2020-03-12
1,Schleswig-Holstein,3,0,2020-03-19
1,Schleswig-Holstein,1,0,2020-03-21
1,Schleswig-Holstein,1,0,2020-03-24
1,Schleswig-Holstein,1,0,2020-03-25
1,Schleswig-Holstein,1,0,2020-03-26
1,Schleswig-Holstein,1,0,2020-03-27
1,Schleswig-Holstein,1,0,2020-03-28
1,Schleswig-Holstein,2,0,2020-03-30
1,Schleswig-Holstein,1,0,2020-03-31
1,Schleswig-Holstein,1,0,2020-04-01
1,Schleswig-Holstein,1,0,2020-04-02
1,Schleswig-Holstein,1,0,2020-04-03
1,Schleswig-Holstein,1,0,2020-04-05
1,Schleswig-Holstein,1,0,2020-03-10
1,Schleswig-Holstein,1,0,2020-03-11
1,Schleswig-Holstein,2,0,2020-03-12
1,Schleswig-Holstein,1,0,2020-03-16
1,Schleswig-Holstein,1,0,2020-03-17
1,Schleswig-Holstein,1,0,2020-03-18
1,Schleswig-Holstein,2,0,2020-03-19
1,Schleswig-Holstein,1,0,2020-03-23
1,Schleswig-Holstein,1,0,2020-03-24
1,Schleswig-Holstein,3,0,2020-03-25
1,Schleswig-Holstein,1,0,2020-03-26
1,Schleswig-Holstein,3,0,2020-03-28
1,Schleswig-Holstein,1,0,2020-03-29
1,Schleswig-Holstein,3,0,2020-03-30
1,Schleswig-Holstein,5,0,2020-04-01
1,Schleswig-Holstein,4,0,2020-04-02
1,Schleswig-Holstein,4,0,2020-04-03
1,Schleswig-Holstein,1,0,2020-04-04
1,Schleswig-Holstein,1,0,2020-03-19
1,Schleswig-Holstein,1,0,2020-03-20
1,Schleswig-Holstein,1,0,2020-03-22
1,Schleswig-Holstein,1,1,2020-03-23
1,Schleswig-Holstein,2,0,2020-03-24
1,Schleswig-Holstein,1,0,2020-03-25
1,Schleswig-Holstein,3,0,2020-03-27
1,Schleswig-Holstein,2,0,2020-03-28
